Master ID,Item ID,Parent ID,Menu Name,Menu Group,Subgroup,Menu Item,Avg Price,Item Qty (incl voids),% of Ttl Qty (incl voids),Gross Amount (incl voids),% of Ttl Amt (incl voids),Item Qty,Gross Amount,Void Qty,Void Amount,Discount Amount,Net Amount,# Orders,% of Ttl # Orders,% Qty (Group),% Qty (Menu),% Qty (All),% Net Amt (Group),% Net Amt (Menu),% Net Amt (All)
400000009299176321,400000009299176320,400000003055463989,DRINKS,Liquor,Rum,Wray & Nephew Overproof,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055468992,400000003055468991,400000003055463989,DRINKS,Liquor,Rum/Rum Double,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055531607,400000003055531606,400000003055468992,DRINKS,Liquor,Rum/Rum Double,DBL Well Rum,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055531609,400000003055531608,400000003055468992,DRINKS,Liquor,Rum/Rum Double,DBL Bacardi,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055531611,400000003055531610,400000003055468992,DRINKS,Liquor,Rum/Rum Double,DBL Captain Morgan,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055531613,400000003055531612,400000003055468992,DRINKS,Liquor,Rum/Rum Double,DBL Cruzan 9 Year,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055531615,400000003055531614,400000003055468992,DRINKS,Liquor,Rum/Rum Double,DBL Gosling's,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055531617,400000003055531616,400000003055468992,DRINKS,Liquor,Rum/Rum Double,DBL Kraken,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055531619,400000003055531618,400000003055468992,DRINKS,Liquor,Rum/Rum Double,DBL Malibu,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055531621,400000003055531620,400000003055468992,DRINKS,Liquor,Rum/Rum Double,DBL Meyer's,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055463991,400000003055463990,400000003055461393,DRINKS,Liquor,Tequila,,6.67,3.0,0.08108108108108109,20.00,0.06379585326953748,3.0,20.00,0.0,0.00,15.20,4.80,3,0.12,0,0.08108108108108109,0.007246376811594203,0,0.022356776897997206,0.0012653622890403807
400000003055533009,400000003055533008,400000003055463991,DRINKS,Liquor,Tequila,Well Tequila,6.0,2.0,0.6666666666666666,12.00,0.6,2.0,12.00,0.0,0.00,7.20,4.80,2,0.6666666666666666,0.6666666666666666,0.05405405405405406,0.004830917874396135,1.0,0.022356776897997206,0.0012653622890403807
400000003055533013,400000003055533012,400000003055463991,DRINKS,Liquor,Tequila,Espolon Blanco,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000009299194956,400000009299194955,400000003055463991,DRINKS,Liquor,Tequila,Espolon Reposado,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000010417981129,400000010417981128,400000003055463991,DRINKS,Liquor,Tequila,Cazadorés Blanco,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055533017,400000003055533016,400000003055463991,DRINKS,Liquor,Tequila,CASAMIGOS ANEJO,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055533019,400000003055533018,400000003055463991,DRINKS,Liquor,Tequila,Patron Silver,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000009537342636,400000009537342635,400000003055463991,DRINKS,Liquor,Tequila,Mi Campo Blanco,8.0,1.0,0.3333333333333333,8.00,0.4,1.0,8.00,0.0,0.00,8.00,0.00,1,0.3333333333333333,0.3333333333333333,0.02702702702702703,0.0024154589371980675,0.0,0.0,0.0
400000010618233987,400000010618233986,400000003055463991,DRINKS,Liquor,Tequila,Mi Campo Reposado,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000010618233989,400000010618233988,400000003055463991,DRINKS,Liquor,Tequila,Dos AlaS Reposado,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000009299194958,400000009299194957,400000003055463991,DRINKS,Liquor,Tequila,Casamigos Blanco,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055533011,400000003055533010,400000003055463991,DRINKS,Liquor,Tequila,Bahnez Mezcal,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000016493729208,400000016493729207,400000003055463991,DRINKS,Liquor,Tequila,Casamigos Reposado,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000019406261214,400000019406261213,400000003055463991,DRINKS,Liquor,Tequila,Dos AlaS BLancO,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000019406299020,400000019406299019,400000003055463991,DRINKS,Liquor,Tequila,Dos AlaS AneJo,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055533007,400000003055533006,400000003055463991,DRINKS,Liquor,Tequila/Tequila Double,,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055533395,400000003055533394,400000003055533007,DRINKS,Liquor,Tequila/Tequila Double,DBL Well Tequila,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055533397,400000003055533396,400000003055533007,DRINKS,Liquor,Tequila/Tequila Double,DBL Bahnez Mezcal,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
400000003055533399,400000003055533398,400000003055533007,DRINKS,Liquor,Tequila/Tequila Double,DBL Espolon Blanco,0.00,0.0,0.0,0.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,0,0,0,0,0,0,0,0
